millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000014087|21|02|23|10|03|29|039.799|000.051|002.063
0000014187|21|02|23|10|03|29|039.831|000.029|001.179
0000014287|21|02|23|10|03|29|039.809|000.044|001.768
0000014387|21|02|23|10|03|29|039.820|000.029|001.179
0000014487|21|02|23|10|03|29|039.804|000.029|001.179
0000014587|21|02|23|10|03|30|039.809|000.051|002.063
0000014688|21|02|23|10|03|30|039.809|000.059|002.358
0000014787|21|02|23|10|03|30|039.772|000.007|000.294
0000014887|21|02|23|10|03|30|039.799|000.014|000.589
0000014988|21|02|23|10|03|30|039.799|000.059|002.357
0000015087|21|02|23|10|03|30|039.804|000.088|003.537
0000015187|21|02|23|10|03|30|039.804|000.051|002.063
0000015288|21|02|23|10|03|30|039.804|000.044|001.768
0000015387|21|02|23|10|03|30|039.799|000.051|002.063
0000015487|21|02|23|10|03|30|039.799|000.059|002.357
0000015588|21|02|23|10|03|31|039.778|000.059|002.356
0000015687|21|02|23|10|03|31|039.804|000.022|000.884
0000015787|21|02|23|10|03|31|039.783|000.051|002.062
0000015888|21|02|23|10|03|31|039.793|000.014|000.589
0000015987|21|02|23|10|03|31|039.809|000.088|003.537
0000016087|21|02|23|10|03|31|039.799|000.029|001.178
0000016188|21|02|23|10|03|31|039.799|000.007|000.294
0000016287|21|02|23|10|03|31|039.815|000.066|002.653
0000016387|21|02|23|10|03|31|039.799|000.059|002.357
0000016487|21|02|23|10|03|31|039.772|000.000|000.000
0000016587|21|02|23|10|03|32|039.793|000.074|002.946
0000016687|21|02|23|10|03|32|039.793|000.029|001.178
0000016787|21|02|23|10|03|32|039.799|000.037|001.473
0000016887|21|02|23|10|03|32|039.820|000.000|000.000
0000016987|21|02|23|10|03|32|039.809|000.074|002.948
0000017087|21|02|23|10|03|32|039.804|000.051|002.063
0000017187|21|02|23|10|03|32|039.809|000.044|001.768
0000017287|21|02|23|10|03|32|039.809|000.007|000.294
0000017387|21|02|23|10|03|32|039.772|000.014|000.589
0000017487|21|02|23|10|03|32|039.772|000.044|001.767
0000017587|21|02|23|10|03|33|039.799|000.059|002.357
0000017687|21|02|23|10|03|33|039.809|000.037|001.474
0000017787|21|02|23|10|03|33|039.799|000.044|001.768
0000017888|21|02|23|10|03|33|039.778|000.081|003.240
0000017987|21|02|23|10|03|33|039.799|000.074|002.947
0000018087|21|02|23|10|03|33|039.788|000.014|000.589
0000018188|21|02|23|10|03|33|039.831|000.051|002.064
0000018287|21|02|23|10|03|33|039.788|000.051|002.062
0000018387|21|02|23|10|03|33|039.799|000.029|001.178
0000018488|21|02|23|10|03|33|039.793|000.007|000.294
0000018587|21|02|23|10|03|34|039.804|000.059|002.358
0000018687|21|02|23|10|03|34|039.820|000.007|000.294
0000018788|21|02|23|10|03|34|039.778|000.007|000.294
